time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0525,0.00242771,-0.00242771,-0.121173,0.122361,0.349176,0.0307654,0.0221216,-0.0927103,0.149545,0.349177,0.0076313,-0.00101257,-0.117784,0.124814,0.349434,0.00242771,-0.00242771,-0.121615,0.122806,0.349434,-1.48997,-4.06911e-07,0.349375,-1.50632e-06,0.000321186,5.26055e-07,1,6.22514e-05,-6.21245e-06,-3.28808e-05,0.000125911,0.00125994,1.24186e-07,-0.00239677,8.88586e-05,-0.000935497
1.055,0.00263014,-0.00263014,-0.121425,0.122489,0.349176,0.0333308,0.0239662,-0.0952325,0.147659,0.349176,0.00826763,-0.001097,-0.118317,0.124685,0.349435,0.00263014,-0.00263014,-0.121767,0.122833,0.349434,-1.48997,-4.21464e-07,0.349374,-1.3591e-06,0.000322951,5.26178e-07,1,6.98018e-05,-5.81341e-06,-3.43318e-05,0.000117772,0.001412,1.38361e-07,-0.0033158,0.00013295,-0.000580474
1.0575,0.00283661,-0.00283661,-0.121668,0.12261,0.349175,0.0359474,0.0258476,-0.0975742,0.145917,0.349175,0.00891667,-0.00118312,-0.118814,0.124563,0.349435,0.00283661,-0.00283661,-0.121912,0.122855,0.349435,-1.48997,-4.34864e-07,0.349372,-1.2236e-06,0.000324851,5.26321e-07,1,7.51749e-05,-5.35267e-06,-3.49904e-05,0.0001084,0.00151991,1.51416e-07,-0.00422413,0.000160291,-0.000264103
1.06,0.00304682,-0.00304682,-0.1219,0.122724,0.349174,0.0386114,0.0277631,-0.0997456,0.144308,0.349174,0.00957746,-0.00127079,-0.119277,0.12445,0.349436,0.00304682,-0.00304682,-0.12205,0.122874,0.349436,-1.48997,-4.47039e-07,0.349371,-1.10051e-06,0.000326833,5.26483e-07,1,7.84647e-05,-4.86386e-06,-3.49544e-05,9.84741e-05,0.00158561,1.635e-07,-0.00509657,0.000173936,1.31611e-05
1.0625,0.00326049,-0.00326049,-0.122117,0.122832,0.349173,0.0413192,0.0297101,-0.101757,0.142823,0.349173,0.0102491,-0.00135991,-0.11971,0.124349,0.349437,0.00326049,-0.00326049,-0.12218,0.122894,0.349436,-1.48997,-4.57985e-07,0.349369,-9.89861e-07,0.000328848,5.26663e-07,1,7.98138e-05,-4.37315e-06,-3.43204e-05,8.85219e-05,0.001612,1.74734e-07,-0.00591251,0.000176864,0.000251822
1.065,0.00347736,-0.00347736,-0.12232,0.122935,0.349172,0.0440675,0.0316863,-0.103617,0.141452,0.349173,0.0109309,-0.00145036,-0.120113,0.124262,0.349437,0.00347736,-0.00347736,-0.122302,0.122918,0.349437,-1.48997,-4.67745e-07,0.349368,-8.91197e-07,0.000330851,5.2686e-07,1,7.94031e-05,-3.89988e-06,-3.31822e-05,7.89322e-05,0.00160279,1.85214e-07,-0.00665587,0.000171826,0.000453041
1.0675,0.0036972,-0.0036972,-0.122505,0.123033,0.349171,0.0468534,0.0336895,-0.105336,0.140186,0.349172,0.0116219,-0.00154205,-0.12049,0.124188,0.349438,0.0036972,-0.0036972,-0.122418,0.122946,0.349438,-1.48997,-4.76397e-07,0.349366,-8.03733e-07,0.000332804,5.27073e-07,1,7.74409e-05,-3.45735e-06,-3.16293e-05,6.99721e-05,0.00156221,1.95016e-07,-0.00731491,0.000161245,0.00061843
1.07,0.00391976,-0.00391976,-0.122673,0.123127,0.349171,0.049674,0.0357176,-0.106922,0.139019,0.349171,0.0123215,-0.00163488,-0.120842,0.12413,0.349439,0.00391976,-0.00391977,-0.122527,0.122979,0.349438,-1.48997,-4.84039e-07,0.349365,-7.26476e-07,0.000334673,5.27301e-07,1,7.4153e-05,-3.0538e-06,-2.97469e-05,6.18064e-05,0.00149484,2.04197e-07,-0.00788194,0.000147169,0.000749915
1.0725,0.00414487,-0.00414487,-0.122825,0.123217,0.34917,0.0525267,0.0377688,-0.108385,0.137942,0.34917,0.0130291,-0.00172877,-0.12117,0.124087,0.349439,0.00414487,-0.00414487,-0.122629,0.12302,0.349439,-1.48997,-4.90777e-07,0.349363,-6.5833e-07,0.000336429,5.27543e-07,1,6.97738e-05,-2.69337e-06,-2.76142e-05,5.45169e-05,0.00140545,2.12799e-07,-0.00835299,0.00013126,0.000849656
1.075,0.00437231,-0.00437231,-0.122959,0.123304,0.349169,0.055409,0.0398414,-0.109731,0.136949,0.349169,0.0137441,-0.00182363,-0.121478,0.124059,0.34944,0.00437231,-0.00437231,-0.122725,0.123068,0.34944,-1.48997,-4.96724e-07,0.349362,-5.98179e-07,0.000338053,5.27798e-07,1,6.45385e-05,-2.37701e-06,-2.53051e-05,4.81217e-05,0.0012988,2.20855e-07,-0.00872734,0.000114812,0.000919983
1.0775,0.00460192,-0.00460192,-0.123077,0.123387,0.349168,0.0583189,0.0419336,-0.11097,0.136033,0.349169,0.0144658,-0.00191939,-0.121765,0.124046,0.34944,0.00460192,-0.00460192,-0.122815,0.123123,0.34944,-1.48997,-5.01985e-07,0.34936,-5.4494e-07,0.000339527,5.28064e-07,1,5.86761e-05,-2.10335e-06,-2.28871e-05,4.25917e-05,0.00117955,2.28388e-07,-0.00900715,9.87771e-05,0.000963368
1.08,0.00483354,-0.00483354,-0.12318,0.123467,0.349168,0.0612541,0.0440442,-0.112109,0.13519,0.349168,0.0151939,-0.002016,-0.122034,0.124046,0.349441,0.00483354,-0.00483354,-0.122899,0.123185,0.349441,-1.48996,-5.0666e-07,0.349359,-4.97608e-07,0.000340842,5.28342e-07,1,5.24038e-05,-1.86942e-06,-2.04211e-05,3.78661e-05,0.00105208,2.35421e-07,-0.00919694,8.38151e-05,0.000982397
1.0825,0.00506701,-0.00506701,-0.123269,0.123545,0.349167,0.0642128,0.0461716,-0.113156,0.134412,0.349168,0.0159278,-0.00211337,-0.122286,0.12406,0.349441,0.00506701,-0.00506701,-0.122979,0.123253,0.349441,-1.48996,-5.1084e-07,0.349357,-4.55278e-07,0.000341993,5.28629e-07,1,4.59223e-05,-1.67126e-06,-1.79616e-05,3.38641e-05,0.00092047,2.41969e-07,-0.00930317,7.0337e-05,0.000979741
1.085,0.00530219,-0.00530219,-0.123345,0.123619,0.349167,0.0671933,0.0483147,-0.114117,0.133696,0.349167,0.0166671,-0.00221146,-0.122522,0.124085,0.349442,0.00530219,-0.00530219,-0.123054,0.123327,0.349442,-1.48996,-5.14601e-07,0.349356,-4.1716e-07,0.000342978,5.28926e-07,1,3.94126e-05,-1.50442e-06,-1.5556e-05,3.04953e-05,0.000788374,2.48049e-07,-0.00933377,5.85551e-05,0.00095813
1.0875,0.00553896,-0.00553896,-0.123409,0.123692,0.349167,0.0701938,0.0504722,-0.115,0.133037,0.349167,0.0174114,-0.00231021,-0.122744,0.124121,0.349442,0.00553896,-0.00553896,-0.123125,0.123405,0.349442,-1.48996,-5.18011e-07,0.349354,-3.82576e-07,0.000343802,5.29231e-07,1,3.30335e-05,-1.36435e-06,-1.3245e-05,2.76672e-05,0.000659003,2.53679e-07,-0.0092977,4.85284e-05,0.000920325
1.09,0.0057772,-0.0057772,-0.123464,0.123761,0.349166,0.073213,0.0526431,-0.11581,0.13243,0.349166,0.0181603,-0.00240958,-0.122953,0.124165,0.349442,0.0057772,-0.0057772,-0.123191,0.123487,0.349442,-1.48996,-5.21127e-07,0.349353,-3.50963e-07,0.000344471,5.29543e-07,1,2.69198e-05,-1.24664e-06,-1.10623e-05,2.52905e-05,0.000535084,2.58874e-07,-0.00920459,4.02043e-05,0.000869078
1.0925,0.0060168,-0.0060168,-0.12351,0.123829,0.349166,0.0762493,0.0548264,-0.116555,0.131871,0.349166,0.0189134,-0.00250951,-0.12315,0.124217,0.349442,0.0060168,-0.0060168,-0.123255,0.123572,0.349442,-1.48996,-5.23994e-07,0.349351,-3.2186e-07,0.000344995,5.29863e-07,1,2.11823e-05,-1.14723e-06,-9.03474e-06,2.32831e-05,0.00041885,2.63655e-07,-0.00906435,3.34538e-05,0.000807098
