time,force_plate_1_fx,force_plate_1_fy,force_plate_1_fz,force_plate_2_fx,force_plate_2_fy,force_plate_2_fz,force_plate_3_fx,force_plate_3_fy,force_plate_3_fz,force_plate_4_fx,force_plate_4_fy,force_plate_4_fz
0.135,0.0,0.0,7.098943832772875e-08,0.0,0.0,7.098943832772875e-08,0.0,0.0,7.098943832772875e-08,0.0,0.0,7.098943832772875e-08
0.1375,0.0,0.0,5.677731707010025e-08,0.0,0.0,5.677731707010025e-08,0.0,0.0,5.677731707010025e-08,0.0,0.0,5.677731707010025e-08
0.14,0.0,0.0,4.541047182726743e-08,0.0,0.0,4.541047182726743e-08,0.0,0.0,4.541047182726743e-08,0.0,0.0,4.541047182726743e-08
0.1425,0.0,0.0,3.631927647518296e-08,0.0,0.0,3.631927647518296e-08,0.0,0.0,3.631927647518296e-08,0.0,0.0,3.631927647518296e-08
0.145,0.0,0.0,2.9048143446175345e-08,0.0,0.0,2.9048143446175345e-08,0.0,0.0,2.9048143446175345e-08,0.0,0.0,2.9048143446175345e-08
0.1475,0.0,0.0,2.323268866177841e-08,0.0,0.0,2.323268866177841e-08,0.0,0.0,2.323268866177841e-08,0.0,0.0,2.323268866177841e-08
0.15,0.0,0.0,1.858149545341803e-08,0.0,0.0,1.858149545341803e-08,0.0,0.0,1.858149545341803e-08,0.0,0.0,1.858149545341803e-08
0.1525,0.0,0.0,1.4861470276628097e-08,0.0,0.0,1.4861470276628097e-08,0.0,0.0,1.4861470276628097e-08,0.0,0.0,1.4861470276628097e-08
0.155,0.0,0.0,1.1886196915611436e-08,0.0,0.0,1.1886196915611436e-08,0.0,0.0,1.1886196915611436e-08,0.0,0.0,1.1886196915611436e-08
0.1575,0.0,0.0,9.506575082696145e-09,0.0,0.0,9.506575082696145e-09,0.0,0.0,9.506575082696145e-09,0.0,0.0,9.506575082696145e-09
0.16,0.0,0.0,7.603356166896447e-09,0.0,0.0,7.603356166896447e-09,0.0,0.0,7.603356166896447e-09,0.0,0.0,7.603356166896447e-09
