time,A_phi_r,A_phi_l,A_trq_r,A_trq_l,A_dist,B_phi_r,B_phi_l,B_trq_r,B_trq_l,B_dist,C_phi_r,C_phi_l,C_trq_r,C_trq_l,C_dist,D_phi_r,D_phi_l,D_trq_r,D_trq_l,D_dist,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,vel_x,vel_y,vel_z,vel_rx,vel_ry,vel_rz,acc_x,acc_y,acc_z
1.0525,0.0113123,-0.00707418,-0.116015,0.121306,0.349168,0.00754497,-0.008243,-0.119912,0.11857,0.349168,0.00868475,-0.0072962,-0.118842,0.11976,0.349443,0.00699034,-0.0106439,-0.120536,0.117261,0.349443,-1.48997,-6.47058e-07,0.349352,9.18822e-07,0.000343603,5.2716e-07,1,4.50781e-06,3.16135e-06,-5.09439e-05,-6.40709e-05,8.48576e-05,-7.38214e-08,-0.00635997,-4.44775e-05,0.00100164
1.055,0.0122556,-0.00766405,-0.116719,0.121659,0.349168,0.0081741,-0.00893033,-0.120338,0.119042,0.349168,0.00940892,-0.00790458,-0.119354,0.12015,0.349443,0.00757323,-0.0115314,-0.120893,0.117904,0.349443,-1.48997,-6.39663e-07,0.349349,8.44062e-07,0.000343729,5.27101e-07,1,5.28476e-06,2.95243e-06,-4.76716e-05,-5.98076e-05,0.000100483,-6.78707e-08,-0.00643408,-6.70024e-05,0.00130684
1.0575,0.0132177,-0.00826571,-0.117379,0.121993,0.349168,0.0088158,-0.00963139,-0.120741,0.119485,0.349167,0.0101476,-0.00852512,-0.119835,0.120517,0.349443,0.00816775,-0.0124367,-0.121231,0.118505,0.349443,-1.48997,-6.3287e-07,0.349346,7.75411e-07,0.000343869,5.27047e-07,1,5.8771e-06,2.71227e-06,-4.39583e-05,-5.49207e-05,0.000112355,-6.22299e-08,-0.0065108,-8.08449e-05,0.00148315
1.06,0.0141972,-0.00887826,-0.117997,0.122311,0.349168,0.00946911,-0.0103451,-0.12112,0.119902,0.349167,0.0108996,-0.00915689,-0.120288,0.120863,0.349443,0.00877304,-0.0133584,-0.121551,0.119067,0.349443,-1.48997,-6.26713e-07,0.349342,7.13209e-07,0.00034402,5.26997e-07,1,6.28612e-06,2.45828e-06,-4.00605e-05,-4.97615e-05,0.000120508,-5.69547e-08,-0.00658713,-8.7598e-05,0.00155689
1.0625,0.0151929,-0.00950089,-0.118578,0.122612,0.349167,0.0101332,-0.0110707,-0.121479,0.120295,0.349167,0.0116639,-0.00979907,-0.120714,0.12119,0.349443,0.00938829,-0.0142952,-0.121856,0.119595,0.349443,-1.48997,-6.21193e-07,0.349339,6.57456e-07,0.000344176,5.26951e-07,1,6.51927e-06,2.20398e-06,-3.61732e-05,-4.46023e-05,0.000125098,-5.20768e-08,-0.00666054,-8.88146e-05,0.00155268
1.065,0.0162034,-0.0101328,-0.119124,0.1229,0.349167,0.0108072,-0.011807,-0.121818,0.120665,0.349167,0.0124398,-0.0104509,-0.121116,0.121501,0.349443,0.0100128,-0.015246,-0.122146,0.120092,0.349443,-1.48997,-6.16286e-07,0.349335,6.07902e-07,0.000344334,5.26909e-07,1,6.58899e-06,1.95934e-06,-3.24363e-05,-3.96436e-05,0.000126381,-4.76076e-08,-0.00672898,-8.59264e-05,0.00149243
1.0675,0.0172278,-0.0107734,-0.119637,0.123175,0.349167,0.0114904,-0.0125534,-0.122139,0.121015,0.349167,0.0132262,-0.0111115,-0.121496,0.121796,0.349443,0.0106457,-0.0162099,-0.122422,0.120559,0.349443,-1.48997,-6.1195e-07,0.349332,5.64124e-07,0.00034449,5.2687e-07,1,6.51148e-06,1.73117e-06,-2.89433e-05,-3.50224e-05,0.00012469,-4.3543e-08,-0.00679086,-8.01942e-05,0.00139486
1.07,0.0182649,-0.011422,-0.12012,0.123438,0.349167,0.0121821,-0.0133092,-0.122442,0.121346,0.349167,0.0140224,-0.0117805,-0.121855,0.122077,0.349443,0.0112866,-0.0171857,-0.122687,0.121001,0.349443,-1.48997,-6.08134e-07,0.349328,5.25596e-07,0.00034464,5.26833e-07,1,6.30562e-06,1.52367e-06,-2.57492e-05,-3.08223e-05,0.000120408,-3.98672e-08,-0.00684507,-7.26829e-05,0.00127524
1.0725,0.0193138,-0.0120779,-0.120575,0.123691,0.349167,0.0128817,-0.0140735,-0.12273,0.121661,0.349167,0.0148277,-0.012457,-0.122195,0.122347,0.349443,0.0119348,-0.0181726,-0.12294,0.121419,0.349443,-1.48997,-6.0478e-07,0.349325,4.9174e-07,0.000344783,5.26799e-07,1,5.99189e-06,1.33889e-06,-2.28793e-05,-2.70843e-05,0.000113953,-3.65563e-08,-0.00689092,-6.42564e-05,0.00114558
1.075,0.0203737,-0.0127407,-0.121005,0.123934,0.349167,0.0135886,-0.0148457,-0.123004,0.121959,0.349167,0.0156414,-0.0131405,-0.122518,0.122604,0.349443,0.0125897,-0.0191698,-0.123183,0.121815,0.349443,-1.48997,-6.01831e-07,0.349321,4.6197e-07,0.000344915,5.26768e-07,1,5.59149e-06,1.17726e-06,-2.0336e-05,-2.38158e-05,0.000105755,-3.35813e-08,-0.0069281,-5.55848e-05,0.00101485
